source,title,link,published,summary,timestamp,symbol
economic_times,Iran moves to rapidly repair nuclear sites,https://economictimes.indiatimes.com/news/defence/iran-at-work-on-missile-and-nuclear-sites-after-us-attack-last-year-satellite-images-show/articleshow/127992144.cms,"Fri, 06 Feb 2026 18:52:56 +0530",,2026-02-06 20:50:36.796709,
economic_times,Bathinda: Police use tear gas to stop BKU protest,https://economictimes.indiatimes.com/news/india/bathinda-on-alert-as-punjab-police-block-entry-points-use-tear-gas-to-stop-bharatiya-kisan-union-protest/articleshow/127991504.cms,"Fri, 06 Feb 2026 18:42:24 +0530",,2026-02-06 20:50:36.796709,
economic_times,"Pay less tax of 39% for unexplained income, Budget 26",https://economictimes.indiatimes.com/wealth/tax/pay-reduced-tax-at-39-rate-on-unexplained-income-compared-to-78-earlier-with-close-eye-on-penalty-budget-2026-announcement/articleshow/127991258.cms,"Fri, 06 Feb 2026 18:39:18 +0530",,2026-02-06 20:50:36.796709,
economic_times,Mundra shutdown costs Tata Power Rs 800 crore,https://economictimes.indiatimes.com/industry/energy/power/mundra-shutdown-costs-tata-power-rs-800-crore/articleshow/127948424.cms,"Thu, 05 Feb 2026 23:23:43 +0530",,2026-02-06 20:50:36.796709,
economic_times,Pernod Ricard launches inquiry after warehouse raid,https://economictimes.indiatimes.com/industry/cons-products/liquor/pernod-ricard-launches-inquiry-after-raid-on-indian-warehouse/articleshow/127988997.cms,"Fri, 06 Feb 2026 17:42:22 +0530",,2026-02-06 20:50:36.796709,
economic_times,Tata to invest Rs 515 cr for new unit in Tamil Nadu,https://economictimes.indiatimes.com/industry/indl-goods/svs/chem-/-fertilisers/tata-chemicals-to-invest-rs-515-cr-in-new-manufacturing-unit-in-tamil-nadu/articleshow/127985594.cms,"Fri, 06 Feb 2026 16:38:36 +0530",,2026-02-06 20:50:36.796709,
economic_times,Kunal Kamra moves HC challenging Sahyog portal,https://economictimes.indiatimes.com/news/india/comedian-kunal-kamra-moves-hc-challenging-sahyog-portal-cites-free-speech-concerns/articleshow/127985578.cms,"Fri, 06 Feb 2026 16:31:32 +0530",,2026-02-06 20:50:36.796709,
economic_times,RBI changes key rule on pre-EMI home loan interest,https://economictimes.indiatimes.com/wealth/tax/confused-about-income-tax-deduction-on-pre-emi-interest-budget-2026-brings-clarity-on-rs-2-lakh-home-loan-deduction/articleshow/127983542.cms,"Fri, 06 Feb 2026 16:20:38 +0530",,2026-02-06 20:50:36.796709,
economic_times,Indian woman fined Rs 2 lakh for feeding pigeons,https://economictimes.indiatimes.com/news/new-updates/indian-origin-woman-fined-rs-2-2-lakh-in-singapore-after-being-caught-feeding-pigeons/articleshow/127986448.cms,"Fri, 06 Feb 2026 16:49:37 +0530",,2026-02-06 20:50:36.796709,
economic_times,SC allows minor to terminate 30-week pregnancy,https://economictimes.indiatimes.com/news/india/supreme-court-allows-minor-to-terminate-30-week-pregnancy-cant-compel-woman-to-complete-pregnancy/articleshow/127984540.cms,"Fri, 06 Feb 2026 16:01:47 +0530",,2026-02-06 20:50:36.796709,
economic_times,RBI announcement: Higher return for REIT investors?,https://economictimes.indiatimes.com/wealth/real-estate/good-news-for-reit-investors-as-they-are-likely-to-get-higher-returns-and-dividends-due-to-this-decision-by-rbi-announced-today/articleshow/127982646.cms,"Fri, 06 Feb 2026 15:38:24 +0530",,2026-02-06 20:50:36.796709,
